,yyyy,periodQ,PerStatus,PerNo,Work Overtime,Business Trip A,Business Trip B,Number of leave A,Number of leave B
186,2014,2014Q4,0,1706,0,1,1,5,0
187,2014,2014Q3,0,1750,0,4,0,3,0
188,2014,2014Q3,0,1722,0,2,0,4,0
189,2014,2014Q2,0,1722,0,3,0,2,0
190,2014,2014Q1,0,1722,0,1,0,2,0
191,2014,2014Q1,0,5473,0,6,2,1,0
192,2014,2014Q4,0,5467,0,0,0,4,0
193,2014,2014Q4,0,5451,0,1,0,4,0
194,2014,2014Q1,0,5471,0,1,0,3,0
195,2014,2014Q3,0,5471,1,1,0,3,0
196,2014,2014Q4,0,5471,0,2,0,3,0
197,2014,2014Q4,0,1712,0,1,0,5,0
198,2014,2014Q3,0,1712,0,1,0,2,0
199,2014,2014Q2,0,1712,0,1,0,1,0
200,2014,2014Q1,0,1712,0,3,0,1,0
201,2014,2014Q2,0,5471,0,0,0,5,0
202,2014,2014Q3,0,1766,0,1,0,4,0
203,2014,2014Q2,0,5467,0,1,0,0,0
204,2014,2014Q3,0,5451,0,1,1,3,0
205,2014,2014Q1,0,5439,0,0,0,1,0
206,2014,2014Q4,0,5438,0,3,0,1,0
207,2014,2014Q3,0,5438,0,2,0,1,0
208,2014,2014Q2,0,5438,0,2,0,6,0
209,2014,2014Q1,0,5438,0,3,0,2,0
210,2014,2014Q1,0,1737,0,0,0,1,0
211,2014,2014Q2,0,1737,1,0,0,1,0
212,2014,2014Q3,0,1737,0,1,0,0,0
213,2014,2014Q1,0,5467,0,1,0,1,0
214,2014,2014Q1,0,1713,0,0,0,1,0
215,2014,2014Q2,0,1713,1,1,0,2,0
216,2014,2014Q1,0,5451,0,1,0,1,0
217,2014,2014Q3,0,5433,0,5,0,5,0
218,2014,2014Q2,0,5433,2,6,0,1,0
219,2014,2014Q1,0,1818,0,0,0,0,0
220,2014,2014Q2,0,5439,0,1,0,2,0
221,2014,2014Q2,0,1738,0,0,0,2,0
222,2014,2014Q4,0,1738,0,1,0,6,0
223,2014,2014Q4,0,5432,0,0,0,3,0
224,2014,2014Q3,0,5432,0,1,0,2,0
225,2014,2014Q2,0,5432,0,1,0,1,0
226,2014,2014Q1,0,5432,0,0,0,5,0
227,2014,2014Q4,0,5431,0,4,0,1,0
228,2014,2014Q3,0,5431,0,4,0,3,0
229,2014,2014Q3,0,1728,0,1,0,2,0
230,2014,2014Q2,0,5431,0,4,2,0,0
231,2014,2014Q1,0,1739,0,1,0,4,0
232,2014,2014Q2,0,1739,1,1,0,3,0
233,2014,2014Q3,0,1739,2,2,0,3,0
234,2014,2014Q4,0,1739,3,2,0,1,0
235,2014,2014Q4,0,5425,0,1,0,3,0
236,2014,2014Q3,0,1738,0,2,0,3,0
237,2014,2014Q3,0,5439,0,0,0,2,0
238,2014,2014Q4,0,5439,0,1,0,6,0
239,2014,2014Q1,0,5441,0,1,0,2,0
240,2014,2014Q4,0,5449,0,1,0,2,0
241,2014,2014Q3,0,5449,0,2,0,4,0
242,2014,2014Q1,0,5431,0,4,0,1,0
243,2014,2014Q1,0,1738,0,1,0,0,0
244,2014,2014Q1,0,5433,0,3,0,4,0
245,2014,2014Q2,0,5449,0,2,0,5,0
246,2014,2014Q1,0,5449,0,2,0,4,0
247,2014,2014Q4,0,1724,3,0,0,6,0
248,2014,2014Q4,0,5447,0,1,0,3,0
249,2014,2014Q3,0,5447,0,0,0,3,0
250,2014,2014Q2,0,5447,0,1,0,2,0
251,2014,2014Q1,0,5447,0,0,0,2,0
252,2014,2014Q4,0,5444,0,0,0,3,0
253,2014,2014Q3,0,5444,0,0,0,0,0
254,2014,2014Q2,0,5444,2,0,0,1,0
255,2014,2014Q1,0,5444,0,0,0,1,0
256,2014,2014Q1,0,1728,0,1,0,3,0
257,2014,2014Q2,0,5441,2,0,0,2,0
258,2014,2014Q4,0,5303,0,0,0,1,0
259,2014,2014Q3,0,5441,0,1,0,1,0
260,2014,2014Q1,0,5442,0,0,0,2,0
261,2014,2014Q2,0,5442,0,0,0,0,0
262,2014,2014Q3,0,5442,0,0,0,1,0
263,2014,2014Q2,0,5451,0,1,0,0,0
264,2014,2014Q4,0,5442,0,0,0,0,0
265,2014,2014Q2,0,5443,0,0,0,2,0
266,2014,2014Q3,0,5443,0,0,0,1,0
267,2014,2014Q4,0,5443,0,0,0,3,0
268,2014,2014Q4,0,1728,0,1,1,3,0
269,2014,2014Q2,0,1724,6,1,0,0,0
270,2014,2014Q1,0,1724,9,0,0,1,0
271,2014,2014Q4,0,5441,3,1,0,5,0
272,2014,2014Q3,0,1724,1,0,0,2,0
273,2014,2014Q2,0,1728,0,1,0,2,0
274,2014,2014Q2,0,1811,0,1,0,1,0
275,2014,2014Q1,0,5292,0,1,0,2,0
276,2014,2014Q1,0,1807,0,0,0,4,0
277,2014,2014Q2,0,1807,0,0,0,2,0
278,2014,2014Q3,0,1807,0,0,0,3,0
279,2014,2014Q4,0,1807,0,0,0,2,0
280,2014,2014Q4,0,5287,0,4,0,3,0
281,2014,2014Q3,0,5287,0,3,3,2,0
282,2014,2014Q2,0,5287,0,3,0,3,0
283,2014,2014Q1,0,5287,0,3,0,2,0
284,2014,2014Q1,0,5443,0,0,0,1,0
285,2014,2014Q4,0,5282,4,3,2,3,0
286,2014,2014Q2,0,5282,5,3,0,1,0
287,2014,2014Q1,0,5282,3,2,0,1,0
288,2014,2014Q1,0,1809,0,0,0,3,0
289,2014,2014Q2,0,5292,0,0,0,2,0
290,2014,2014Q2,0,1809,0,0,0,3,0
291,2014,2014Q4,0,1809,1,0,0,3,0
292,2014,2014Q4,0,5277,4,0,0,2,0
293,2014,2014Q3,0,5277,0,0,0,2,0
294,2014,2014Q2,0,5277,3,0,3,3,0
295,2014,2014Q1,0,5277,0,0,1,2,0
296,2014,2014Q4,0,5274,0,1,0,1,0
297,2014,2014Q3,0,5282,5,5,0,0,0
298,2014,2014Q3,0,5364,0,0,0,4,0
299,2014,2014Q4,0,5364,0,0,0,3,0
300,2014,2014Q3,0,5274,0,1,8,1,0
301,2014,2014Q2,0,5274,0,1,0,5,0
302,2014,2014Q3,0,1811,0,0,0,1,0
303,2014,2014Q4,0,1811,0,0,0,4,8
304,2014,2014Q4,0,5270,1,4,0,5,0
305,2014,2014Q3,0,1809,0,0,0,2,0
306,2014,2014Q3,0,5292,0,1,0,0,0
307,2014,2014Q4,0,5292,0,0,0,1,0
308,2014,2014Q1,0,5294,0,0,0,7,0
309,2014,2014Q4,0,5307,0,0,0,5,0
310,2014,2014Q3,0,5307,0,1,0,0,0
311,2014,2014Q2,0,5307,0,0,0,1,0
312,2014,2014Q1,0,5307,0,0,0,2,0
313,2014,2014Q4,0,1766,0,2,0,2,0
314,2014,2014Q1,0,1800,1,1,0,2,0
315,2014,2014Q3,0,1800,6,2,0,1,0
316,2014,2014Q4,0,1800,3,1,0,3,0
317,2014,2014Q1,0,1801,3,0,0,1,0
318,2014,2014Q2,0,1801,0,0,0,3,0
319,2014,2014Q3,0,1801,0,1,0,2,0
320,2014,2014Q4,0,1801,1,1,0,4,0
321,2014,2014Q1,0,1805,0,2,0,1,0
322,2014,2014Q2,0,1805,0,1,0,1,0
323,2014,2014Q3,0,1805,0,0,0,2,0
324,2014,2014Q1,0,1811,0,1,0,0,0
325,2014,2014Q1,0,5274,0,1,0,4,0
326,2014,2014Q2,0,1800,5,1,0,1,0
327,2014,2014Q3,0,5425,0,1,0,3,0
328,2014,2014Q4,0,1805,0,1,0,5,0
329,2014,2014Q1,0,5335,0,1,0,2,0
330,2014,2014Q3,0,1806,2,1,0,1,0
331,2014,2014Q2,0,1806,1,1,0,2,0
332,2014,2014Q3,0,5270,1,5,0,2,0
333,2014,2014Q1,0,1806,0,1,0,1,0
334,2014,2014Q2,0,5300,0,0,1,3,0
335,2014,2014Q3,0,5300,0,1,0,3,0
336,2014,2014Q4,0,5300,0,1,0,3,0
337,2014,2014Q1,0,5303,0,0,0,3,0
338,2014,2014Q2,0,5303,0,0,0,4,0
339,2014,2014Q3,0,1812,0,1,0,2,0
340,2014,2014Q3,0,5303,0,0,0,4,0
341,2014,2014Q1,0,5308,0,0,0,5,0
342,2014,2014Q2,0,5270,2,4,0,4,0
343,2014,2014Q1,0,1812,0,0,0,2,0
344,2014,2014Q1,0,1817,0,0,1,1,0
345,2014,2014Q2,0,1817,0,0,2,1,0
346,2014,2014Q3,0,1817,0,1,0,4,0
347,2014,2014Q4,0,1817,0,1,2,3,0
348,2014,2014Q4,0,5253,0,1,0,1,0
349,2014,2014Q3,0,5253,0,1,0,3,0
350,2014,2014Q2,0,5253,0,1,0,2,0
351,2014,2014Q1,0,5253,0,1,0,3,0
352,2014,2014Q1,0,5300,0,0,2,2,0
353,2014,2014Q4,0,1806,0,2,0,2,0
354,2014,2014Q4,0,5294,0,1,0,2,0
355,2014,2014Q4,0,5250,1,0,0,1,0
356,2014,2014Q3,0,5250,0,1,0,4,0
357,2014,2014Q2,0,1818,0,0,0,1,0
358,2014,2014Q1,0,5254,1,1,0,2,0
359,2014,2014Q3,0,1818,0,0,0,3,0
360,2014,2014Q1,0,1820,0,1,0,1,0
361,2014,2014Q2,0,1820,0,1,0,1,0
362,2014,2014Q3,0,1820,0,1,0,5,0
363,2014,2014Q4,0,1820,0,1,0,2,0
364,2014,2014Q4,0,5246,0,2,0,5,0
365,2014,2014Q3,0,5246,0,2,0,2,0
366,2014,2014Q2,0,5246,0,1,0,2,0
367,2014,2014Q1,0,5246,0,2,0,1,0
368,2014,2014Q3,0,5294,0,1,0,0,2
369,2014,2014Q1,0,1824,3,1,0,2,0
370,2014,2014Q3,0,1824,2,1,0,3,0
371,2014,2014Q4,0,1824,3,0,0,3,0
372,2014,2014Q4,0,5242,0,4,0,3,0
373,2014,2014Q3,0,5242,0,5,2,2,0
374,2014,2014Q4,0,1818,0,0,0,5,0
375,2014,2014Q2,0,5254,1,1,0,1,0
376,2014,2014Q3,0,5254,2,1,0,1,0
377,2014,2014Q4,0,5254,1,1,0,3,0
378,2014,2014Q2,0,1812,0,1,0,3,0
379,2014,2014Q1,0,5250,2,1,0,2,0
380,2014,2014Q2,0,5250,1,1,0,3,0
381,2014,2014Q2,0,1824,4,1,0,1,0
382,2014,2014Q2,0,5294,0,0,0,0,0
383,2014,2014Q4,0,1812,0,1,0,2,0
384,2014,2014Q2,0,5308,0,0,0,8,0
385,2014,2014Q1,0,1813,0,0,0,3,0
386,2014,2014Q2,0,1813,0,0,0,7,3
387,2014,2014Q3,0,1813,0,0,0,0,15
388,2014,2014Q4,0,1813,0,0,0,0,0
389,2014,2014Q4,0,5259,3,3,0,1,0
390,2014,2014Q3,0,5259,0,2,0,2,0
391,2014,2014Q2,0,5259,0,2,0,1,0
392,2014,2014Q1,0,5259,0,1,0,2,0
393,2014,2014Q4,1,5258,0,1,0,1,0
394,2014,2014Q4,0,5262,0,3,0,4,0
395,2014,2014Q3,0,5258,0,1,0,4,0
396,2014,2014Q2,0,5256,15,0,0,1,0
397,2014,2014Q3,0,5256,10,0,0,3,0
398,2014,2014Q4,0,5256,12,0,0,5,0
399,2014,2014Q4,0,1815,1,4,0,2,0
400,2014,2014Q3,0,1815,1,2,0,2,0
401,2014,2014Q1,0,5270,0,2,0,2,0
402,2014,2014Q2,0,1815,1,1,0,1,0
403,2014,2014Q1,0,5257,0,0,0,3,2
404,2014,2014Q2,0,5257,0,1,0,2,0
405,2014,2014Q3,0,5257,0,1,0,1,0
406,2014,2014Q4,0,5257,1,1,3,2,0
407,2014,2014Q1,0,5256,5,1,0,1,0
408,2014,2014Q1,0,5262,0,1,0,2,0
409,2014,2014Q2,0,5262,0,2,0,2,0
410,2014,2014Q1,0,5258,0,1,0,2,0
411,2014,2014Q2,0,5258,0,1,0,1,0
412,2014,2014Q4,0,5308,0,0,0,3,0
413,2014,2014Q3,0,5341,0,3,0,3,0
414,2014,2014Q2,0,5341,0,4,1,1,0
415,2014,2014Q1,0,5341,0,3,0,2,0
416,2014,2014Q1,0,1774,0,1,0,2,0
417,2014,2014Q2,0,1774,1,3,1,1,0
418,2014,2014Q3,0,1774,0,2,0,1,0
419,2014,2014Q4,0,1774,0,1,1,2,0
420,2014,2014Q4,0,5338,0,1,0,5,0
421,2014,2014Q3,0,5338,0,1,0,1,0
422,2014,2014Q2,0,5338,0,1,0,4,0
423,2014,2014Q3,0,5262,0,2,0,2,0
424,2014,2014Q1,0,5338,0,1,0,2,0
425,2014,2014Q3,0,5337,0,1,3,0,0
426,2014,2014Q2,0,5337,0,1,0,1,0
427,2014,2014Q4,0,5341,0,3,1,2,0
428,2014,2014Q1,0,5337,0,2,0,1,0
429,2014,2014Q2,0,1780,3,4,0,1,0
430,2014,2014Q3,0,1780,0,3,0,2,0
431,2014,2014Q4,0,1780,0,4,0,6,0
432,2014,2014Q4,0,5335,0,1,0,3,0
433,2014,2014Q3,0,5335,0,1,0,3,0
434,2014,2014Q2,0,5485,1,1,0,2,0
435,2014,2014Q1,0,1815,0,1,0,2,0
436,2014,2014Q4,0,5337,0,1,0,6,0
437,2014,2014Q1,0,5532,0,0,0,3,0
438,2014,2014Q2,0,5335,0,1,0,2,0
439,2014,2014Q2,0,5532,0,0,0,3,0
440,2014,2014Q1,0,1783,0,4,0,2,0
441,2014,2014Q2,0,1783,0,7,0,1,0
442,2014,2014Q3,0,1783,0,8,0,3,0
443,2014,2014Q1,0,1780,0,3,2,2,0
444,2014,2014Q4,0,1772,0,4,0,1,0
445,2014,2014Q3,0,1772,0,2,0,1,0
446,2014,2014Q2,0,1772,0,3,0,1,0
447,2014,2014Q2,0,5364,0,0,0,3,0
448,2014,2014Q1,0,5364,0,1,0,4,0
449,2014,2014Q3,0,5319,0,0,0,0,0
450,2014,2014Q4,0,5360,0,2,0,1,0
451,2014,2014Q2,0,5360,0,2,1,1,0
452,2014,2014Q1,0,5360,0,2,0,2,0
453,2014,2014Q1,0,1770,13,1,0,2,0
454,2014,2014Q2,0,1770,6,1,0,1,0
455,2014,2014Q3,0,1770,7,1,0,1,0
456,2014,2014Q4,0,1770,1,1,0,3,0
457,2014,2014Q4,0,5358,0,1,0,4,0
458,2014,2014Q3,0,5358,0,1,0,2,0
459,2014,2014Q2,0,5358,0,0,0,4,0
460,2014,2014Q1,0,5358,2,1,0,1,0
461,2014,2014Q4,0,5355,0,1,0,3,0
462,2014,2014Q3,0,5360,2,4,0,2,0
463,2014,2014Q1,0,5334,0,0,0,4,0
464,2014,2014Q2,0,5622,0,1,0,5,0
465,2014,2014Q2,0,5334,0,0,0,0,0
466,2014,2014Q2,0,5355,0,1,0,1,0
467,2014,2014Q4,0,5348,0,0,0,2,0
468,2014,2014Q1,0,5350,0,2,1,3,0
469,2014,2014Q4,0,1783,1,7,1,3,0
470,2014,2014Q2,0,5350,0,3,0,2,0
471,2014,2014Q4,0,5350,0,1,1,1,0
472,2014,2014Q4,0,1771,0,3,0,7,0
473,2014,2014Q3,0,1771,0,3,0,1,0
474,2014,2014Q2,0,1771,0,3,0,2,0
475,2014,2014Q1,0,1771,0,3,0,1,0
476,2014,2014Q1,0,5355,0,1,0,2,0
477,2014,2014Q3,0,5350,0,2,2,4,0
478,2014,2014Q3,0,5308,0,1,0,2,0
479,2014,2014Q4,0,5333,0,0,0,4,0
480,2014,2014Q2,0,5333,0,0,0,2,0
481,2014,2014Q2,0,5320,0,1,0,3,0
482,2014,2014Q1,0,5320,0,1,0,2,0
483,2014,2014Q1,0,1790,0,2,0,1,0
484,2014,2014Q2,0,1790,0,5,1,1,0
485,2014,2014Q3,0,1790,0,5,0,2,0
486,2014,2014Q4,0,1790,0,5,1,1,0
487,2014,2014Q4,1,5319,0,0,0,0,0
488,2014,2014Q1,0,5348,0,0,0,2,0
489,2014,2014Q1,0,1772,0,3,0,1,0
490,2014,2014Q3,0,5355,0,1,0,3,0
491,2014,2014Q2,0,5319,0,0,0,0,0
492,2014,2014Q4,0,5315,0,0,0,3,0
493,2014,2014Q1,0,1784,0,1,2,3,0
494,2014,2014Q1,0,5315,0,0,0,3,0
495,2014,2014Q3,0,5320,0,0,0,3,0
496,2014,2014Q1,0,1793,0,0,0,4,0
497,2014,2014Q3,0,1793,0,0,0,5,0
498,2014,2014Q4,0,1793,1,0,0,4,0
499,2014,2014Q4,0,5314,0,1,0,1,0
500,2014,2014Q3,0,5314,0,1,1,4,0
501,2014,2014Q2,0,5314,0,1,2,2,0
502,2014,2014Q1,0,5314,0,1,0,3,0
503,2014,2014Q1,0,5319,0,1,0,2,0
504,2014,2014Q4,0,5313,0,0,0,5,0
505,2014,2014Q2,0,5313,0,0,0,1,0
506,2014,2014Q1,0,5313,0,0,0,2,0
507,2014,2014Q4,0,5309,0,0,0,6,0
508,2014,2014Q3,0,5309,0,0,0,7,0
509,2014,2014Q2,0,5309,0,1,0,2,0
510,2014,2014Q1,0,5309,0,0,0,2,0
511,2014,2014Q2,0,1793,0,1,0,4,0
512,2014,2014Q4,0,5320,0,1,0,2,0
513,2014,2014Q1,0,5322,0,1,0,1,0
514,2014,2014Q2,0,5322,0,2,0,1,0
515,2014,2014Q1,0,5333,0,1,0,2,0
516,2014,2014Q3,0,5313,0,0,0,1,0
517,2014,2014Q2,0,5315,0,0,0,4,0
518,2014,2014Q3,0,5315,0,1,0,4,0
519,2014,2014Q4,1,5332,0,1,0,4,0
520,2014,2014Q3,0,5332,0,1,0,3,0
521,2014,2014Q2,0,1784,0,1,1,1,0
522,2014,2014Q3,0,1784,0,2,0,3,0
523,2014,2014Q4,0,1784,0,1,5,3,0
524,2014,2014Q4,0,5330,8,1,0,0,0
525,2014,2014Q3,0,5330,5,1,0,4,0
526,2014,2014Q2,0,5330,5,1,0,0,0
527,2014,2014Q1,0,5330,5,1,0,0,0
528,2014,2014Q4,0,5329,0,1,3,10,0
529,2014,2014Q3,0,5329,0,1,2,1,0
530,2014,2014Q2,0,5329,0,0,2,4,0
531,2014,2014Q1,0,5329,0,1,1,2,0
532,2014,2014Q3,0,5348,0,0,0,7,0
533,2014,2014Q3,0,5322,0,2,1,2,0
