,yyyy,PerNo,PerStatus,sex,Job classification,Job level,Factory code,Layers of management,Work experience1,Work experience2,Work experience3,Work experience4,Work experience5,Project Hours,Project Numbers,Current project position,Percentage of Special project,Working place,Training hours A,Training hours B,Training hours C,Total production,Number of Honors,Promotion or Not Promotion,Promotion speed,Number of leave in recent three months A,Number of leave in the past year A,Number of leave in recent three months B,Number of leave in the past year B,Business Trip A,Business Trip B,Business Trip Concentration,Annual performance level A,Annual performance level B,Annual performance level C,Age level,Marital Status,Job tenure level A,Job tenure level B,Job tenure level C,Average number of years of work before employment,highest education level,Graduated School category,Graduated Department category,Family numbers,Commuting cost,Affiliated department,Work Overtime
15,2018,41,,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,10.0,5.0,9.0,1.0,4.0,1.0,6.0,1.0,,4.0,6.0,0.0,8.0,13151.0,0
16,2018,43,,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,6.0,0.0,12.0,16070.0,0
17,2018,45,,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,5.0,0.0,14.0,1.0,5.0,4.0,6.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,7.0,0.0,8.0,14077.0,10
18,2018,51,,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,,6.0,1.0,8.0,19186.0,1
19,2018,55,,1.0,1.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,12.0,1.0,6.0,6.0,0.0,0.0,,3.0,1.0,1.0,9.0,16121.0,0
20,2018,56,,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,5.0,10.0,1.0,6.0,5.0,2.0,1.0,3.0,3.0,9.0,0.0,8.0,2180.0,1
21,2018,57,,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,2.0,1.0,11.0,2.0,0.0,5.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,12.0,1.0,5.0,3.0,4.0,1.0,,4.0,1.0,2.0,8.0,16001.0,0
22,2018,59,,1.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,6.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,1.0,5.0,10.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,,3.0,3.0,11.0,11182.0,4
23,2018,62,,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,8.0,2.0,3.0,2.0,2.0,1.0,,,8.0,1.0,8.0,8157.0,0
24,2018,65,,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,5.0,5.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,,,8.0,2.0,8.0,8194.0,0
25,2018,68,,1.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,9.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,5.0,9.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,9.0,2.0,9.0,12060.0,5
26,2018,69,,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,2.0,13.0,1.0,7.0,7.0,0.0,0.0,2.0,3.0,8.0,1.0,8.0,14053.0,1
27,2018,71,,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,8.0,4010.0,0
28,2018,72,,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,,4.0,6.0,1.0,8.0,14067.0,1
29,2018,73,,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,5.0,6.0,1.0,2.0,2.0,0.0,1.0,,,6.0,3.0,9.0,14105.0,1
30,2018,78,,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,2.0,0.0,2.0,10.0,8.0,5.0,7.0,1.0,4.0,4.0,0.0,0.0,2.0,,8.0,0.0,8.0,16086.0,2
31,2018,80,,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,2.0,1.0,5.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,7.0,2.0,9.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,8.0,8038.0,0
32,2018,84,,0.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,,6.0,1.0,8.0,19135.0,0
33,2018,85,,1.0,1.0,3.0,13.0,5.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,7.0,1.0,3.0,3.0,0.0,0.0,,4.0,3.0,3.0,8.0,13084.0,0
34,2018,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,2018,89,,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,2.0,6.0,2.0,3.0,2.0,7.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,,8.0,1.0,8.0,8074.0,1
36,2018,96,,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,8.0,2177.0,5
37,2018,98,,1.0,1.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,2.0,10.0,6.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,8.0,18111.0,1
38,2018,100,,1.0,2.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,3.0,0.0,9.0,1.0,7.0,2.0,12.0,1.0,4.0,2.0,5.0,2.0,2.0,4.0,9.0,1.0,8.0,14195.0,0
39,2018,102,,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,5.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,5.0,1.0,4.0,2.0,8.0,4.0,7.0,1.0,3.0,3.0,0.0,0.0,,,8.0,2.0,8.0,14077.0,39
40,2018,107,,1.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,5.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,10.0,4.0,5.0,8.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,8.0,1.0,8.0,9044.0,8
41,2018,109,,0.0,2.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,10.0,6.0,2.0,0.0,1.0,100.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,,9.0,1.0,11.0,14105.0,2
42,2018,112,,1.0,1.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,2.0,1.0,1.0,7.0,0.0,1.0,1.0,4.0,7.0,0.0,0.0,7.0,1.0,3.0,4.0,1.0,4.0,11.0,1.0,6.0,6.0,1.0,1.0,2.0,5.0,3.0,2.0,8.0,8142.0,0
43,2018,113,,1.0,2.0,4.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,5.0,1.0,10.0,1.0,8.0,4.0,8.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,0.0,8.0,20134.0,3
44,2018,118,,0.0,2.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,3.0,0.0,5.0,2.0,7.0,2.0,10.0,1.0,4.0,3.0,4.0,2.0,2.0,5.0,9.0,2.0,6.0,20089.0,1
45,2018,120,,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,5.0,8.0,1.0,4.0,1.0,6.0,2.0,,,3.0,1.0,8.0,16001.0,12
46,2018,121,,0.0,1.0,7.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,11.0,0.0,0.0,2.0,0.0,3.0,10.0,7.0,2.0,7.0,1.0,3.0,2.0,3.0,1.0,2.0,,7.0,1.0,8.0,14021.0,1
47,2018,128,,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,9.0,2.0,8.0,20123.0,6
48,2018,133,,0.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,2.0,15.0,1.0,8.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,10.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,5.0,0.0,8.0,20127.0,9
49,2018,135,,1.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,6.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,5.0,8.0,1.0,4.0,4.0,0.0,1.0,2.0,,6.0,2.0,8.0,9132.0,20
50,2018,137,,0.0,1.0,7.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,0.0,8.0,18111.0,0
51,2018,138,,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,5.0,0.0,11.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,10.0,1.0,5.0,3.0,3.0,1.0,,4.0,3.0,2.0,9.0,14067.0,0
52,2018,140,,0.0,2.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,5.0,8.0,1.0,5.0,5.0,1.0,1.0,,,9.0,1.0,8.0,19036.0,0
53,2018,143,,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,2.0,6.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,6.0,2.0,2.0,2.0,0.0,0.0,,3.0,5.0,1.0,8.0,20071.0,25
54,2018,145,,0.0,1.0,3.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,1.0,1.0,7.0,2.0,9.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,0.0,8.0,20130.0,0
55,2018,146,,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,4.0,4.0,0.0,0.0,2.0,,8.0,1.0,8.0,8157.0,0
56,2018,147,,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,5.0,0.0,8.0,19166.0,0
57,2018,150,,1.0,1.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,10.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,8.0,18111.0,0
58,2018,153,,0.0,2.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,2.0,10.0,7.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,,9.0,1.0,10.0,19036.0,11
59,2018,155,,1.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,,4.0,6.0,0.0,8.0,9044.0,0
60,2018,158,,1.0,1.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,7.0,1.0,3.0,2.0,2.0,1.0,,3.0,5.0,2.0,8.0,20089.0,0
61,2018,159,,1.0,2.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,2.0,2.0,2.0,0.0,2.0,6.0,5.0,2.0,11.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,9.0,0.0,6.0,12083.0,1
62,2018,160,,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,2.0,8.0,19035.0,5
63,2018,162,,0.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,4.0,10.0,8.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,10.0,14048.0,21
64,2018,163,,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,7.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,,4.0,3.0,3.0,8.0,14057.0,1
65,2018,165,,0.0,1.0,3.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,22.0,5.0,5.0,1.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,11.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,3.0,3.0,0.0,0.0,,,9.0,0.0,8.0,12115.0,1
66,2018,169,,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,10.0,1.0,5.0,4.0,2.0,1.0,2.0,,8.0,1.0,8.0,2128.0,0
67,2018,170,,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,5.0,0.0,14.0,1.0,5.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,,4.0,7.0,1.0,10.0,14048.0,0
68,2018,171,,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,6.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,,6.0,2.0,8.0,2029.0,0
69,2018,177,,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,2.0,10.0,10.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,11.0,16178.0,2
70,2018,179,,0.0,1.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.0,8.0,9044.0,29
71,2018,186,,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,1.0,1.0,6.0,3.0,0.0,1.0,7.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,4.0,8.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,8.0,2.0,12.0,8157.0,0
